country,Code,Date,total_vaccinations
Argentina,ARG,2020-12-29,700
Argentina,ARG,2020-12-31,32013
Argentina,ARG,2021-01-04,39599
Argentina,ARG,2021-01-08,107542
Argentina,ARG,2021-01-13,166833
Argentina,ARG,2021-01-15,200759
Austria,AUT,2021-01-05,8360
Austria,AUT,2021-01-07,15095
Austria,AUT,2021-01-08,30150
Austria,AUT,2021-01-09,31525
Austria,AUT,2021-01-10,31885
Austria,AUT,2021-01-11,38545
Austria,AUT,2021-01-12,52925
Austria,AUT,2021-01-13,63280
Austria,AUT,2021-01-14,74100
Austria,AUT,2021-01-15,84380
Austria,AUT,2021-01-16,87195
Austria,AUT,2021-01-17,102790
Bahrain,BHR,2020-12-23,38965
Bahrain,BHR,2020-12-24,50071
Bahrain,BHR,2020-12-25,50543
Bahrain,BHR,2020-12-26,51556
Bahrain,BHR,2020-12-27,53614
Bahrain,BHR,2020-12-28,55014
Bahrain,BHR,2020-12-29,56041
Bahrain,BHR,2020-12-30,57317
Bahrain,BHR,2020-12-31,58643
Bahrain,BHR,2021-01-01,59351
Bahrain,BHR,2021-01-02,60097
Bahrain,BHR,2021-01-03,60689
Bahrain,BHR,2021-01-04,61612
Bahrain,BHR,2021-01-05,63893
Bahrain,BHR,2021-01-06,68472
Bahrain,BHR,2021-01-07,72239
Bahrain,BHR,2021-01-08,78291
Bahrain,BHR,2021-01-09,84157
Bahrain,BHR,2021-01-10,89250
Bahrain,BHR,2021-01-11,92598
Bahrain,BHR,2021-01-12,97776
Bahrain,BHR,2021-01-13,101363
Bahrain,BHR,2021-01-14,109566
Bahrain,BHR,2021-01-15,122819
Bahrain,BHR,2021-01-16,137159
Bahrain,BHR,2021-01-17,141563
Belgium,BEL,2020-12-27,630
Belgium,BEL,2020-12-28,700
Belgium,BEL,2021-01-05,2540
Belgium,BEL,2021-01-06,3565
Belgium,BEL,2021-01-07,4680
Belgium,BEL,2021-01-08,13294
Belgium,BEL,2021-01-10,26821
Belgium,BEL,2021-01-13,49847
Belgium,BEL,2021-01-16,96402
Brazil,BRA,2021-01-16,0
Brazil,BRA,2021-01-17,112
Bulgaria,BGR,2020-12-29,1719
Bulgaria,BGR,2020-12-30,4608
Bulgaria,BGR,2021-01-01,4739
Bulgaria,BGR,2021-01-05,5448
Bulgaria,BGR,2021-01-06,7913
Bulgaria,BGR,2021-01-07,11117
Bulgaria,BGR,2021-01-08,13355
Bulgaria,BGR,2021-01-09,13473
Bulgaria,BGR,2021-01-11,14161
Bulgaria,BGR,2021-01-12,15780
Bulgaria,BGR,2021-01-13,17038
Bulgaria,BGR,2021-01-14,17686
Bulgaria,BGR,2021-01-15,18126
Bulgaria,BGR,2021-01-16,18332
Bulgaria,BGR,2021-01-17,18453
Canada,CAN,2020-12-14,297
Canada,CAN,2020-12-15,1163
Canada,CAN,2020-12-16,3683
Canada,CAN,2020-12-17,7201
Canada,CAN,2020-12-18,10615
Canada,CAN,2020-12-19,11894
Canada,CAN,2020-12-20,14492
Canada,CAN,2020-12-21,20866
Canada,CAN,2020-12-22,26287
Canada,CAN,2020-12-23,35089
Canada,CAN,2020-12-24,45398
Canada,CAN,2020-12-25,45700
Canada,CAN,2020-12-26,48719
Canada,CAN,2020-12-27,52280
Canada,CAN,2020-12-28,59449
Canada,CAN,2020-12-29,70749
Canada,CAN,2020-12-30,79482
Canada,CAN,2020-12-31,95832
Canada,CAN,2021-01-01,104347
Canada,CAN,2021-01-02,112425
Canada,CAN,2021-01-03,117727
Canada,CAN,2021-01-04,136759
Canada,CAN,2021-01-05,155527
Canada,CAN,2021-01-06,183690
Canada,CAN,2021-01-07,219464
Canada,CAN,2021-01-08,261234
Canada,CAN,2021-01-09,297352
Canada,CAN,2021-01-10,321049
Canada,CAN,2021-01-11,360160
Canada,CAN,2021-01-12,388493
Canada,CAN,2021-01-13,419209
Canada,CAN,2021-01-14,459492
Canada,CAN,2021-01-15,507687
Canada,CAN,2021-01-16,543291
Canada,CAN,2021-01-17,570742
Chile,CHL,2020-12-24,420
Chile,CHL,2020-12-25,5191
Chile,CHL,2020-12-26,8335
Chile,CHL,2020-12-27,8646
Chile,CHL,2021-01-04,9051
Chile,CHL,2021-01-05,10494
Chile,CHL,2021-01-06,10699
Chile,CHL,2021-01-13,14612
Chile,CHL,2021-01-14,18526
China,CHN,2020-12-15,1500000
China,CHN,2020-12-31,4500000
China,CHN,2021-01-09,9000000
China,CHN,2021-01-13,10000000
Costa Rica,CRI,2020-12-24,55
Costa Rica,CRI,2021-01-03,2455
Costa Rica,CRI,2021-01-08,9751
Costa Rica,CRI,2021-01-15,24859
Croatia,HRV,2020-12-30,7864
Croatia,HRV,2021-01-03,12285
Croatia,HRV,2021-01-05,13798
Croatia,HRV,2021-01-07,20603
Croatia,HRV,2021-01-08,24985
Croatia,HRV,2021-01-09,30000
Croatia,HRV,2021-01-13,34553
Croatia,HRV,2021-01-14,38000
Croatia,HRV,2021-01-15,41532
Croatia,HRV,2021-01-16,45906
Cyprus,CYP,2021-01-06,3901
Cyprus,CYP,2021-01-10,6035
Cyprus,CYP,2021-01-15,10226
Czechia,CZE,2021-01-04,13000
Czechia,CZE,2021-01-06,19918
Czechia,CZE,2021-01-13,70680
Denmark,DNK,2020-12-27,6558
Denmark,DNK,2020-12-28,8542
Denmark,DNK,2020-12-29,17570
Denmark,DNK,2020-12-30,29037
Denmark,DNK,2020-12-31,35317
Denmark,DNK,2021-01-01,37681
Denmark,DNK,2021-01-02,46623
Denmark,DNK,2021-01-03,52619
Denmark,DNK,2021-01-04,55047
Denmark,DNK,2021-01-05,68581
Denmark,DNK,2021-01-06,88538
Denmark,DNK,2021-01-07,106133
Denmark,DNK,2021-01-08,114629
Denmark,DNK,2021-01-09,116527
Denmark,DNK,2021-01-10,117340
Denmark,DNK,2021-01-11,117997
Denmark,DNK,2021-01-12,118451
Denmark,DNK,2021-01-13,130795
Denmark,DNK,2021-01-14,148466
Denmark,DNK,2021-01-15,162823
Denmark,DNK,2021-01-16,167011
England,,2020-12-20,564832
England,,2020-12-27,825204
England,,2021-01-03,1158691
England,,2021-01-10,2333764
England,,2021-01-11,2474205
England,,2021-01-12,2661850
England,,2021-01-13,2910027
England,,2021-01-14,3189674
England,,2021-01-15,3514385
England,,2021-01-16,3791594
Estonia,EST,2020-12-28,207
Estonia,EST,2020-12-29,516
Estonia,EST,2020-12-30,884
Estonia,EST,2020-12-31,1907
Estonia,EST,2021-01-01,2487
Estonia,EST,2021-01-03,2517
Estonia,EST,2021-01-04,2535
Estonia,EST,2021-01-05,3188
Estonia,EST,2021-01-06,5009
Estonia,EST,2021-01-07,6632
Estonia,EST,2021-01-08,7973
Estonia,EST,2021-01-09,10197
Estonia,EST,2021-01-10,10749
Estonia,EST,2021-01-11,10972
Estonia,EST,2021-01-12,11896
Estonia,EST,2021-01-13,13481
Estonia,EST,2021-01-14,14879
Estonia,EST,2021-01-15,16677
Estonia,EST,2021-01-16,17959
Estonia,EST,2021-01-17,18179
European Union,,2020-12-25,1
European Union,,2020-12-27,45122
European Union,,2020-12-28,82027
European Union,,2020-12-29,159749
European Union,,2020-12-30,292817
European Union,,2020-12-31,383461
European Union,,2021-01-01,429727
European Union,,2021-01-02,526620
European Union,,2021-01-03,642756
European Union,,2021-01-04,936574
European Union,,2021-01-05,1235923
European Union,,2021-01-06,1483190
European Union,,2021-01-07,1866918
European Union,,2021-01-08,2256708
European Union,,2021-01-09,2440403
European Union,,2021-01-10,2678473
European Union,,2021-01-11,3095039
European Union,,2021-01-12,3511804
European Union,,2021-01-13,4094395
European Union,,2021-01-14,4574383
European Union,,2021-01-15,5061474
European Union,,2021-01-16,5256042
European Union,,2021-01-17,5353759
Finland,FIN,2020-12-31,1767
Finland,FIN,2021-01-04,3604
Finland,FIN,2021-01-05,5445
Finland,FIN,2021-01-07,8155
Finland,FIN,2021-01-08,11135
Finland,FIN,2021-01-11,14196
Finland,FIN,2021-01-12,17617
Finland,FIN,2021-01-13,23126
Finland,FIN,2021-01-14,33033
Finland,FIN,2021-01-15,43143
France,FRA,2021-01-04,1000
France,FRA,2021-01-05,6000
France,FRA,2021-01-06,18000
France,FRA,2021-01-07,45000
France,FRA,2021-01-08,81000
