country,confirmed,deaths,case_fatality,deaths_per_100k
San Marino,2778,65,2.3%,192.39
Belgium,678839,20435,3.0%,178.91
Slovenia,149125,3180,2.1%,153.82
Italy,2381277,82177,3.5%,135.98
Czechia,889159,14338,1.6%,134.94
United Kingdom,3405740,89429,2.6%,134.5
Bosnia and Herzegovina,117011,4411,3.8%,132.7
North Macedonia,88938,2702,3.0%,129.72
Liechtenstein,2389,49,2.1%,129.25
United States,23933368,397574,1.7%,121.52
Peru,1060567,38770,3.7%,121.2
Bulgaria,211813,8483,4.0%,120.77
Montenegro,55493,745,1.3%,119.71
Andorra,9083,91,1.0%,118.17
Hungary,351828,11341,3.2%,116.09
Panama,298019,4787,1.6%,114.61
Spain,2252164,53314,2.4%,114.1
Croatia,224954,4616,2.1%,112.88
Mexico,1641428,140704,8.6%,111.5
France,2969091,70422,2.4%,105.13
Argentina,1799243,45407,2.5%,102.05
Switzerland,495228,8682,1.8%,101.94
Sweden,523486,10323,2.0%,101.37
Armenia,164586,2992,1.8%,101.36
Brazil,8488099,209847,2.5%,100.18
Colombia,1908413,48631,2.5%,97.95
Chile,669832,17477,2.6%,93.31
Moldova,152854,3250,2.1%,91.66
Luxembourg,48630,549,1.1%,90.34
Romania,693644,17221,2.5%,88.43
Poland,1435582,33355,2.3%,87.83
Lithuania,167516,2445,1.5%,87.65
Portugal,549801,8861,1.6%,86.18
Bolivia,187183,9636,5.1%,84.88
Ecuador,231482,14319,6.2%,83.81
Austria,393778,7082,1.8%,80.05
Georgia,247805,2933,1.2%,78.61
Kosovo,55851,1410,2.5%,76.41
Netherlands,925355,13107,1.4%,76.07
Belize,11580,281,2.4%,73.35
Iran,1330411,56803,4.3%,69.44
South Africa,1337926,37105,2.8%,64.22
Slovakia,223325,3474,1.6%,63.78
Germany,2050129,46901,2.3%,56.56
Ireland,172726,2608,1.5%,53.73
Serbia,372533,3750,1.0%,53.71
Greece,148607,5469,3.7%,50.98
Latvia,55664,978,1.8%,50.76
Malta,15588,239,1.5%,49.43
Tunisia,180090,5692,3.2%,49.22
Ukraine,1198512,21767,1.8%,48.78
Canada,713181,18024,2.5%,48.64
Costa Rica,184187,2416,1.3%,48.33
Bahamas,8032,175,2.2%,45.38
Israel,551689,4005,0.7%,45.08
Russia,3530379,64601,1.8%,44.71
Albania,67690,1277,1.9%,44.55
Jordan,314514,4145,1.3%,41.63
West Bank and Gaza,152031,1718,1.1%,37.6
